# Trayectoria 2R - Referencias angulares
# Generado: 2025-11-02 14:30:22
# theta1: ángulo eslabón 1 desde horizontal [rad]
# theta2: ángulo relativo eslabón 2 [rad]
time_s,theta1_rad,theta2_rad
0.000000,3.141593,0.000000
0.016667,3.141593,0.000000
0.033333,3.141593,0.000000
0.050000,3.141593,0.000000
0.066667,3.141593,0.000000
0.083333,3.139821,0.001241
0.100000,3.134561,0.004964
0.116667,3.126004,0.011162
0.133333,3.114421,0.019792
0.150000,3.100144,0.030784
0.166667,3.083550,0.044053
0.183333,3.065059,0.059502
0.200000,3.045120,0.077021
0.216667,3.024198,0.096491
0.233333,3.002770,0.117790
0.250000,2.981319,0.140790
0.266667,2.960324,0.165357
0.283333,2.940259,0.191356
0.300000,2.921590,0.218649
0.316667,2.904773,0.247096
0.333333,2.890249,0.276555
0.350000,2.878447,0.306885
0.366667,2.869779,0.337946
0.383333,2.864637,0.369599
0.400000,2.863393,0.401705

