# Trayectoria 2R - Referencias angulares
# Generado: 2025-11-01 23:38:14
# theta1: ángulo eslabón 1 desde horizontal [rad]
# theta2: ángulo relativo eslabón 2 [rad]
time_s,theta1_rad,theta2_rad
0.000000,3.141593,0.000000
0.016667,3.141593,0.000000
0.033333,3.141593,0.000000
0.050000,3.141593,0.000000
0.066667,3.141593,0.000000
0.083333,3.141593,0.000000
0.100000,3.141593,0.000000
0.116667,3.141593,0.000000
0.133333,3.141593,0.000000
0.150000,3.141593,0.000000
0.166667,3.141593,0.000000
0.183333,3.141593,0.000000
0.200000,3.141593,0.000000
0.216667,3.141593,0.000000
0.233333,3.141593,0.000000
0.250000,3.141593,0.000000
0.266667,3.141593,0.000000
0.283333,3.141593,0.000000
0.300000,3.141593,0.000000
0.316667,3.141593,0.000000
0.333333,3.141593,0.000000
0.350000,3.141593,0.000000
0.366667,3.141593,0.000000
0.383333,3.141593,0.000000
0.400000,3.141593,0.000000
0.416667,3.141593,0.000000
0.433333,3.141593,0.000000
0.450000,3.141593,0.000000
0.466667,3.141593,0.000000
0.483333,3.141593,0.000000
0.500000,3.141593,0.000000
0.516667,3.141593,0.000000
0.533333,3.141593,0.000000
0.550000,3.141593,0.000000
0.566667,3.141593,0.000000
0.583333,3.141593,0.000000
0.600000,3.141593,0.000000
0.616667,3.141593,0.000000
0.633333,3.141593,0.000000
0.650000,3.141593,0.000000
0.666667,3.141593,0.000000
0.683333,3.141593,0.000000
0.700000,3.141593,0.000000
0.716667,3.141593,0.000000
0.733333,3.141593,0.000000
0.750000,3.141593,0.000000
0.766667,3.141593,0.000000
0.783333,3.141593,0.000000
0.800000,3.141593,0.000000
0.816667,3.141593,0.000000
0.833333,3.141593,0.000000
0.850000,3.141593,0.000000
0.866667,3.141593,0.000000
0.883333,3.141593,0.000000
0.900000,3.141593,0.000000
0.916667,3.141593,0.000000
0.933333,3.141593,0.000000
0.950000,3.141593,0.000000
0.966667,3.141593,0.000000
0.983333,3.141593,0.000000
1.000000,3.141593,0.000000
1.016667,3.141452,0.000110
1.033333,3.140494,0.000858
1.050000,3.137979,0.002819
1.066667,3.133252,0.006508
1.083333,3.125733,0.012375
1.100000,3.114923,0.020810
1.116667,3.100392,0.032148
1.133333,3.081783,0.046668
1.150000,3.058806,0.064597
1.166667,3.031234,0.086111
1.183333,2.998903,0.111338
1.200000,2.961707,0.140362
1.216667,2.919593,0.173222
1.233333,2.872563,0.209918
1.250000,2.820669,0.250411
1.266667,2.764007,0.294623
1.283333,2.702717,0.342447
1.300000,2.636980,0.393740
1.316667,2.567014,0.448333
1.333333,2.493072,0.506029
1.350000,2.415437,0.566606
1.366667,2.334423,0.629820
1.383333,2.250366,0.695407
1.400000,2.163628,0.763088
1.416667,2.074587,0.832564
1.433333,1.983641,0.903528
1.450000,1.891198,0.975660
1.466667,1.797678,1.048631
1.483333,1.703510,1.122109
1.500000,1.609125,1.195756
1.516667,1.514957,1.269234
1.533333,1.421437,1.342205
1.550000,1.328994,1.414337
1.566667,1.238048,1.485301
1.583333,1.149007,1.554777
1.600000,1.062269,1.622458
1.616667,0.978212,1.688045
1.633333,0.897198,1.751259
1.650000,0.819563,1.811836
1.666667,0.745621,1.869532
1.683333,0.675655,1.924125
1.700000,0.609918,1.975418
1.716667,0.548628,2.023242
1.733333,0.491966,2.067454
1.750000,0.440071,2.107946
1.766667,0.393042,2.144643
1.783333,0.350928,2.177503
1.800000,0.313732,2.206527
1.816667,0.281401,2.231754
1.833333,0.253829,2.253268
1.850000,0.230852,2.271197
1.866667,0.212243,2.285717
1.883333,0.197712,2.297055
1.900000,0.186902,2.305490
1.916667,0.179383,2.311357
1.933333,0.174656,2.315045
1.950000,0.172141,2.317007
1.966667,0.171183,2.317755
1.983333,0.171042,2.317865
2.000000,0.171042,2.317865
2.016667,0.165320,2.322288
2.033333,0.159412,2.326523
2.050000,0.153333,2.330565
2.066667,0.147095,2.334407
2.083333,0.140714,2.338049
2.100000,0.134203,2.341487
2.116667,0.127576,2.344720
2.133333,0.120847,2.347748
2.150000,0.114028,2.350571
2.166667,0.107131,2.353191
2.183333,0.100170,2.355608
2.200000,0.093154,2.357824
2.216667,0.086096,2.359844
2.233333,0.079005,2.361668
2.250000,0.071892,2.363300
2.266667,0.064765,2.364744
2.283333,0.057634,2.366002
2.300000,0.050507,2.367079
2.316667,0.043391,2.367977
2.333333,0.036295,2.368701
2.350000,0.029224,2.369254
2.366667,0.022187,2.369641
2.383333,0.015188,2.369864
2.400000,0.008234,2.369928
2.416667,0.001330,2.369836
2.433333,-0.005520,2.369592
2.450000,-0.012310,2.369201
2.466667,-0.019035,2.368664
2.483333,-0.025693,2.367988
2.500000,-0.032279,2.367174
2.516667,-0.038790,2.366226
2.533333,-0.045224,2.365148
2.550000,-0.051576,2.363944
2.566667,-0.057845,2.362618
2.583333,-0.064029,2.361172
2.600000,-0.070126,2.359610
2.616667,-0.076133,2.357936
2.633333,-0.082051,2.356152
2.650000,-0.087877,2.354264
2.666667,-0.093611,2.352274
2.683333,-0.099253,2.350186
2.700000,-0.104803,2.348003
